City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Streator,90,US,1587665054,87,41.12,-88.84,60.01,2.48
Hirara,99,JP,1587665054,75,24.8,125.28,66.45,24.56
Villa Bruzual,79,VE,1587665054,47,9.33,-69.12,91.44,5.28
San Patricio,75,MX,1587664755,78,19.22,-104.7,80.6,9.17
Solnechnogorsk,49,RU,1587665054,35,56.18,36.98,41.0,8.95
Jumla,100,NP,1587665054,35,29.27,82.18,46.45,1.79
San Juan,8,AR,1587664924,30,-31.54,-68.54,82.06,5.32
Erzin,67,TR,1587665055,94,36.96,36.2,60.01,1.7
Haines Junction,100,CA,1587665055,65,60.75,-137.51,37.58,5.23
Kuytun,25,RU,1587665055,49,54.34,101.5,46.0,2.57
Tingi,7,TZ,1587665055,64,-11.3,35.03,61.75,0.69
Haicheng,55,CN,1587665055,64,40.85,122.75,41.9,4.34
Nakamura,62,JP,1587665055,78,32.98,132.93,42.04,5.91
Manta,20,EC,1587664791,78,-0.95,-80.73,82.4,8.05
Gorontalo,96,ID,1587665056,87,0.54,123.06,76.69,2.59
Mehamn,75,NO,1587665056,91,71.04,27.85,32.0,17.22
Ekhabi,100,RU,1587665056,98,53.51,142.97,29.07,25.75
Santa Fe,90,AR,1587664910,38,-31.63,-60.7,88.0,7.0
Biltine,3,TD,1587665056,9,14.53,20.92,88.92,7.87
Sorong,80,ID,1587665056,89,-0.88,131.25,76.55,1.05
Worthington,90,US,1587665056,76,40.09,-83.02,55.99,6.93
Karratha,47,AU,1587665057,48,-20.74,116.85,88.09,4.68
Rodnikovo,17,UA,1587665057,70,45.04,33.95,45.09,6.53
Yaan,73,NG,1587665057,54,7.38,8.57,88.75,6.55
Malayal,0,PH,1587665057,73,7.21,121.94,81.05,5.61
Noumea,75,NC,1587664806,88,-22.28,166.46,68.0,2.24
Boden,90,SE,1587665058,74,65.83,21.69,37.4,2.24
Eyl,33,SO,1587665058,76,7.98,49.82,84.27,13.89
Chkalovsk,68,RU,1587665058,74,56.76,43.24,28.4,2.24
Luganville,99,VU,1587665058,87,-15.53,167.17,77.94,7.61
Marawi,39,PH,1587665058,86,8.0,124.29,75.99,5.99
Ust'-Koksa,62,RU,1587665058,30,50.27,85.61,50.49,7.67
Preobrazheniye,36,RU,1587665058,88,42.9,133.91,33.44,5.99
Syumsi,91,RU,1587665058,92,57.11,51.61,27.23,4.76
Champerico,40,GT,1587665059,59,14.3,-91.92,91.4,6.93
Matias Olímpio,90,BR,1587665059,71,-3.72,-42.56,85.15,1.59
Lufilufi,37,WS,1587665059,79,-13.87,-171.6,84.0,5.99
High Level,90,CA,1587665059,93,58.52,-117.14,35.6,0.67
Berlevåg,75,NO,1587665059,68,70.86,29.09,26.6,27.51
Norrtälje,0,SE,1587665060,67,59.76,18.7,52.0,1.01
Tayoltita,12,MX,1587665060,7,24.08,-105.93,94.6,6.29
Manado,20,ID,1587664956,94,1.49,124.85,77.0,2.24
Bereket,67,TM,1587665060,48,39.24,55.52,62.62,15.12
Ko Samui,100,TH,1587664981,77,9.54,99.94,85.08,11.14
Manaure,75,CO,1587665060,41,11.78,-72.44,95.0,18.34
Sept-Îles,75,CA,1587665060,92,50.2,-66.38,34.0,13.87
Talakan,16,RU,1587665061,88,50.32,130.37,27.05,3.98
Wanning,98,CN,1587665061,88,18.8,110.4,76.24,11.12
Kota Kinabalu,20,MY,1587665061,83,5.97,116.07,80.6,4.7
Yar-Sale,77,RU,1587665061,97,66.83,70.83,29.39,20.04
Zhangjiakou,0,CN,1587665061,35,40.81,114.88,41.9,10.36
Sola,83,VU,1587665061,82,-13.88,167.55,81.73,16.96
Chapais,90,CA,1587664961,62,49.78,-74.85,21.2,14.99
Sakaiminato,40,JP,1587665062,81,35.55,133.23,42.8,5.82
Guanare,60,VE,1587665062,57,9.04,-69.74,88.45,4.34
Ploemeur,90,FR,1587665062,87,47.73,-3.43,57.0,8.05
Yenagoa,99,NG,1587665063,86,4.92,6.26,80.06,3.85
Maceió,40,BR,1587664808,70,-9.67,-35.74,86.0,6.93
Sittwe,93,MM,1587665063,78,20.15,92.9,79.79,7.52
Eskişehir,20,TR,1587665063,40,39.78,30.52,53.6,4.7
Port Hedland,72,AU,1587665063,66,-20.32,118.57,86.0,9.17
Menongue,0,AO,1587665064,44,-14.66,17.69,61.68,4.14
Dulovo,47,BG,1587665064,26,43.82,27.15,60.01,4.0
Atocha,0,BO,1587665064,7,-20.93,-66.23,59.18,13.27
Ejura,58,GH,1587665064,54,7.39,-1.36,87.91,4.41
Sihorā,44,IN,1587665064,29,23.48,80.12,79.3,7.38
Taseyevo,93,RU,1587665064,52,57.22,94.9,56.14,5.19
Cruz Alta,0,BR,1587665064,33,-28.64,-53.61,86.0,4.7
Ouadda,74,CF,1587665065,41,8.08,22.4,81.16,3.02
Ordzhonīkīdze,100,KZ,1587665065,66,52.44,61.74,41.25,9.53
Vostok,1,RU,1587665065,91,46.49,135.88,15.01,4.21
Eydhafushi,99,MV,1587665065,79,5.1,73.07,83.66,14.36
Tambo,45,PE,1587665065,18,-14.8,-73.92,49.01,5.99
Bol'shoye Murashkino,88,RU,1587665066,92,55.78,44.78,27.9,6.11
Xining,95,CN,1587664836,24,36.62,101.77,36.59,1.34
Talnakh,87,RU,1587664785,65,69.49,88.4,41.0,51.45
‘Ewa Beach,1,US,1587665066,73,21.32,-158.01,77.0,4.7
Wabana,75,CA,1587665066,44,47.63,-52.95,43.0,28.86
Minot,1,US,1587664997,36,48.23,-101.3,62.6,16.11
Leh,11,IN,1587665066,15,34.17,77.58,35.33,3.06
Rockland,95,US,1587665066,41,41.17,-74.05,52.0,3.98
Gao,0,ML,1587664987,9,16.64,1.64,97.09,3.62
Scarborough,87,GB,1587664819,75,54.28,-0.4,53.01,3.0
Moses Lake,1,US,1587665023,39,47.13,-119.28,62.6,13.87
Bakchar,100,RU,1587665067,66,57.02,82.07,48.25,4.9
Erenhot,36,CN,1587665067,28,43.65,111.98,45.45,22.5
Kingaroy,90,AU,1587665067,100,-26.53,151.83,55.4,1.88
Lewisville,5,US,1587664904,49,33.05,-96.99,79.0,10.29
Abhā,55,SA,1587665067,60,18.22,42.51,68.0,9.17
Krasne,90,UA,1587665067,33,49.91,24.61,59.0,4.47
Najrān,98,SA,1587665068,28,17.49,44.13,84.2,9.17
Deniliquin,55,AU,1587665068,92,-35.53,144.97,57.99,4.0
Montecristi,20,EC,1587665068,78,-1.05,-80.67,82.4,8.05
Maragogi,94,BR,1587665068,69,-9.01,-35.22,84.24,10.54
Río Cuarto,100,AR,1587665025,39,-33.13,-64.35,80.6,27.51
Khilok,75,RU,1587665068,53,51.37,110.47,37.17,5.1
Arrondissement de Gap,13,FR,1587665068,62,44.67,6.0,63.0,2.17
Umeå,100,SE,1587665069,80,63.83,20.26,44.6,6.93
Terrace,75,CA,1587665028,75,54.52,-128.6,46.4,11.41
Baharly,100,TM,1587665069,54,38.44,57.43,70.57,2.42
São Geraldo do Araguaia,89,BR,1587665069,81,-6.4,-48.55,83.57,2.64
Jagalūr,52,IN,1587665069,54,14.53,76.35,81.43,15.01
Samarai,45,PG,1587665069,81,-10.62,150.67,79.12,6.11
Belle Fourche,20,US,1587665069,38,44.67,-103.85,59.0,16.11
Kyzyl-Suu,38,KG,1587665069,26,42.34,78.0,46.6,5.3
Freetown,100,SL,1587665070,76,8.48,-13.23,80.47,5.93
Concepción del Uruguay,76,AR,1587665070,40,-32.48,-58.24,86.0,3.0
Turinskaya Sloboda,99,RU,1587665070,86,57.62,64.39,37.33,8.75
Nushki,49,PK,1587665070,23,29.55,66.02,78.24,4.7
Takaka,6,NZ,1587665070,96,-40.85,172.8,50.0,1.01
Ayacucho,75,PE,1587664909,34,-13.16,-74.22,68.0,6.93
North Bend,90,US,1587665070,87,43.41,-124.22,57.0,5.82
Kamenka,74,RU,1587665070,51,51.32,42.77,46.0,3.0
Homer,1,US,1587664793,65,59.64,-151.55,46.4,3.36
Kondoa,99,TZ,1587665071,62,-4.9,35.78,64.49,2.86
Le Port,75,RE,1587664855,88,-20.94,55.29,75.2,13.87
Kaputa,22,ZM,1587665071,62,-8.47,29.66,68.74,0.76
Nobeoka,57,JP,1587665071,68,32.58,131.67,45.95,8.57
Ancud,90,CL,1587665071,87,-41.87,-73.82,61.0,11.41
Nemuro,72,JP,1587665071,83,43.32,145.57,34.63,15.79
The Valley,20,AI,1587665071,62,18.22,-63.06,86.0,16.11
Ketchikan,90,US,1587665072,93,55.34,-131.65,46.4,11.41
Yamada,5,JP,1587665072,83,39.47,141.95,35.26,4.61
Vangaindrano,83,MG,1587665072,92,-23.35,47.6,70.99,4.5
San Antonio,1,US,1587664803,25,29.42,-98.49,87.01,14.99
Autun,49,FR,1587665072,38,46.95,4.3,75.2,5.82
Walvis Bay,1,NA,1587665072,32,-22.96,14.51,84.2,19.46
Colares,20,PT,1587665072,77,38.8,-9.45,66.2,11.41
Shenjiamen,99,CN,1587665073,50,29.96,122.3,56.8,10.11
Dolores,79,AR,1587665073,71,-36.31,-57.68,70.2,10.51
Lagoa,97,PT,1587665073,79,39.05,-27.98,60.15,7.56
Parkent,74,UZ,1587665073,59,41.29,69.68,66.2,6.93
Santa Rita,40,BR,1587665073,70,-7.11,-34.98,86.0,10.29
Bodītī,94,ET,1587665073,55,6.97,37.87,61.16,3.78
Tomatlán,87,MX,1587665073,41,19.93,-105.25,86.9,6.62
Sørland,75,NO,1587665073,86,67.67,12.69,41.0,6.93
Kralendijk,75,BQ,1587664932,58,12.15,-68.27,87.8,24.16
Severnyy,20,RU,1587665074,16,50.68,36.55,50.0,6.71
Suchedniów,53,PL,1587665074,32,51.05,20.83,60.01,1.99
San Vicente,0,AR,1587665074,23,-26.62,-54.13,84.43,2.71
Buin,90,CL,1587665074,72,-33.73,-70.75,62.6,1.12
Padang,88,ID,1587665074,78,-0.95,100.35,78.66,3.56
Coquimbo,75,CL,1587665074,77,-29.95,-71.34,62.6,8.05
Huinan,7,CN,1587665074,79,42.62,126.26,31.33,5.37
Soe,94,ID,1587665074,82,-9.86,124.28,66.2,4.23
Constitución,62,CL,1587665075,70,-35.33,-72.42,63.16,10.92
Bandarbeyla,25,SO,1587665075,74,9.49,50.81,83.34,12.01
Isabela,0,PH,1587665075,78,6.71,121.97,79.84,2.48
Buta,85,CD,1587665075,80,2.79,24.73,73.69,2.64
Igarka,100,RU,1587665075,76,67.47,86.58,40.28,28.14
Tucuruí,71,BR,1587665075,71,-3.77,-49.67,85.55,4.07
Gallup,1,US,1587665076,23,35.53,-108.74,64.4,14.99
Wanaka,40,NZ,1587665076,68,-44.7,169.15,43.45,6.13
Burnie,55,AU,1587665076,84,-41.07,145.92,54.0,7.0
Charleston,75,US,1587664780,73,32.78,-79.93,75.2,10.29
Arica,75,CL,1587665017,60,-18.48,-70.3,71.6,9.17
Balkanabat,74,TM,1587665076,44,39.51,54.37,63.28,3.29
Alice Springs,45,AU,1587664834,35,-23.7,133.88,71.6,6.93
